spectral_radius,equilibrium,validation
1.1491303427292394,"[0.17932083 0.11289105 0.1889382  0.36647978 0.2778381  0.26936025
 0.49883084 0.20764285 0.10076058 0.16735538 0.50474201 0.17828531
 0.64927702 0.20992768 0.09726711 0.25919325 0.30558843 0.49630708
 0.17698015 0.00506562]",True
1.1415491687561352,"[0.12994231 0.24824569 0.04909596 0.56523498 0.00407933 0.20076812
 0.00849084 0.71878841 0.34939192 0.31291207 0.02476332 0.45630296
 0.29897999 0.17576868 0.59013073 0.17159804 0.13262018 0.028158
 0.9612441  0.00470743]",True
1.1221410181553715,"[0.23386001 0.12723962 0.0916355  0.18585182 0.16092762 0.16789293
 0.62325553 0.32555952 0.58736508 0.01753763 0.17205736 0.04518727
 0.17277741 0.62966308 0.16772062 0.17330357 0.01355585 0.41587044
 0.08198014 0.07083621]",True
1.1001877263010746,"[0.02717123 0.00314464 0.00501926 0.23693717 0.05081425 0.04536828
 0.13160503 0.13386342 0.15421353 0.31309665 0.03912246 0.84999361
 0.02769475 0.08523468 0.24820724 0.12704284 0.1195996  0.16103421
 0.11554624 0.13314654]",True
1.264630921566008,"[0.31558905 0.3106566  0.21282373 0.1816635  0.08571891 0.34639262
 0.29286322 0.0532589  0.63040484 0.28512565 0.31200566 0.94258504
 0.21679985 0.87856859 0.25923104 0.03978515 0.18486136 0.91460202
 0.39715109 0.15955666]",True
1.171468627133498,"[0.02912448 0.23819713 0.0661048  0.39216396 0.40409524 0.33576125
 0.35663787 0.57152207 0.33139917 0.4158836  0.18363069 0.25408152
 0.1671623  0.17494286 0.17572402 0.19645136 0.14160162 0.58672184
 0.0654726  0.6197561 ]",True
1.1706657165630985,"[0.11572332 0.30130719 0.28739752 0.61133618 0.23644568 0.91105142
 0.37456383 0.74355613 0.06137133 0.26311    0.20504114 0.48469156
 0.10140593 0.12670024 0.18718263 0.00519248 0.44454144 0.37558774
 0.16115206 0.22963774]",True
1.1892281123124064,"[0.30874964 0.03404027 0.43551128 0.01406755 0.10006433 0.92154087
 0.19641885 0.3408639  0.72438667 0.21544369 0.19616579 0.06559111
 0.26376841 0.27649239 0.03147176 0.08503543 0.06367336 0.19581292
 0.525465   0.31387894]",True
1.1731822609891136,"[0.24122076 0.80906563 0.20940648 0.26787787 0.17533651 0.59505308
 0.89432975 0.06935396 0.34143495 0.07102301 0.25488487 0.29812096
 0.29685569 0.27415862 0.13213046 0.00144546 0.58694843 0.56400956
 0.24625943 0.27371968]",True
1.1856064595485494,"[0.86150608 0.15771367 0.15868944 0.44267737 0.07844313 0.17788547
 0.2536961  0.38174377 0.74356697 0.13845395 0.14705192 0.23618749
 0.27821365 0.34521001 0.09121608 0.42230427 0.26897194 0.99267916
 0.52610382 0.4255368 ]",True
1.2364624444682155,"[0.38894408 0.457824   0.4358332  0.2379947  0.47251563 0.28340472
 0.1165309  0.56137529 0.16907329 0.15694358 0.53167548 0.33109674
 0.72616509 0.03328063 0.54472373 0.46093119 0.16638141 0.53259293
 0.29585647 0.57054948]",True
1.1208672556199262,"[0.21172755 0.30851293 0.11712983 0.13074526 0.14877808 0.01799979
 0.34256451 0.2508984  0.59021733 0.49401145 0.0745828  0.04990317
 0.35753986 0.12870245 0.04659602 0.27456997 0.08802906 0.1949987
 0.05111776 0.15642055]",True
1.1948206415165803,"[0.64663536 0.24861627 0.94217699 0.4985122  0.13869711 0.29042041
 0.01467517 0.32735156 0.13225057 0.20793685 0.46138442 0.12161493
 0.18754609 0.03595373 0.21523833 0.32286278 0.00289364 0.13247431
 0.16774599 0.27857144]",True
1.0158426715678022,"[0.03586345 0.03867465 0.02166698 0.02573885 0.03741416 0.13547393
 0.05245166 0.01719017 0.05612434 0.04185537 0.00627684 0.00879532
 0.02916561 0.05045947 0.06485057 0.02003471 0.0302315  0.01622015
 0.00860778 0.0326642 ]",True
1.0733202629449914,"[0.06937825 0.0863672  0.0388863  0.09230444 0.15506622 0.10443001
 0.0325941  0.14478149 0.0271493  0.01756489 0.15608558 0.17246868
 0.04952577 0.12071783 0.06720408 0.1266619  0.15950811 0.5537005
 0.39187472 0.1474061 ]",True
0.9590187608918325,"[4.60922058e-20 5.44730435e-21 8.25402512e-20 1.50127810e-20
 2.38948883e-20 2.69372571e-20 5.90383013e-20 1.15423906e-19
 1.85442789e-20 1.62173573e-20 1.57554100e-20 2.52794437e-20
 3.72154792e-20 1.10428824e-19 2.46618483e-20 3.55355797e-20
 2.60654937e-21 2.26034718e-20 1.20533693e-20 4.40347037e-20]",True
1.2030861685670322,"[0.01643194 0.93034257 0.70649292 0.94610101 0.19162281 0.64231228
 0.6160107  0.20182863 0.53574926 0.17760634 0.1059428  0.29685993
 0.01471831 0.14407444 0.04412971 0.39775661 0.90258171 0.10193411
 0.23878513 0.28869058]",True
1.186282811909482,"[0.23143652 0.39564996 0.36623453 0.21500801 0.3611211  0.25923325
 0.4323188  0.15881588 0.09930924 0.18931715 0.30496404 0.20883656
 0.49762702 0.23714464 0.4483867  0.01709746 0.35050172 0.92042053
 0.48395735 0.70217992]",True
1.2506225427242503,"[0.30121577 0.86464522 0.44264993 0.02656202 0.05429637 0.28120721
 0.36309404 0.43104868 0.71209186 0.13901093 0.22522946 0.48328368
 0.64073232 0.35335935 0.03914955 0.13880062 0.15114709 0.08241947
 0.05483701 0.94093103]",True
1.2498551630223234,"[0.56176815 0.84931461 0.26337687 0.34105185 0.97403252 0.00742583
 0.8653866  0.18573871 0.07363201 0.45519939 0.33624288 0.79927549
 0.3087701  0.14918512 0.4188335  0.49953222 0.35548544 0.09816293
 0.34348724 0.42615394]",True
1.1325781671678954,"[0.20114711 0.10728286 0.22762393 0.14443179 0.16986917 0.15438623
 0.23683693 0.07259549 0.26233432 0.05585567 0.13752532 0.54999703
 0.40516646 0.4787509  0.07969102 0.62787479 0.230341   0.81146402
 0.18717894 0.36233824]",True
