label,spectral_radius_1,spectral_radius_2,equilibrium_1,equilibrium_2,validation
4.1,1.1635342242400237,1.1388137277563672,"[0.07756609 0.38193016 0.14483526 0.28525013 0.31149363 0.10861853
 0.18734819 0.63321871 0.75268485 0.3358536  0.16818873 0.10547488
 0.0022546  0.50643241 0.26157836 0.63323525 0.17689116 0.58776765
 0.29235288 0.05494846]","[0.03822103 0.01652215 0.20883128 0.14354033 0.01015107 0.13773612
 0.01528944 0.14769677 0.01477296 0.03341723 0.02745829 0.02540002
 0.0233337  0.02663379 0.01801999 0.01694562 0.04479997 0.02310713
 0.05197172 0.0005513 ]",
4.1,1.0983272925479832,1.0761441105852951,"[0.80409644 0.1432742  0.36610912 0.03546492 0.04226894 0.14015068
 0.05830423 0.05546533 0.09002211 0.03890953 0.43664088 0.18790742
 0.37851868 0.04897069 0.27924538 0.09014798 0.03389808 0.28514123
 0.12022601 0.20313905]","[0.00517907 0.01867444 0.06382505 0.07808241 0.79697346 0.16390513
 0.04806808 0.06619814 0.10304061 0.02844243 0.01806868 0.00391801
 0.11493769 0.30753834 0.03903641 0.26012338 0.10815141 0.0051326
 0.00428863 0.01012025]",
4.1,1.2756186198361104,1.158157153637375,"[0.76403711 0.1731797  0.19995869 0.500706   0.54844534 0.31658374
 0.36686553 0.0675492  0.25145377 0.58851716 0.13556022 0.02773608
 0.26666498 0.90911836 0.30020734 0.55408456 0.26766183 0.36811864
 0.07961119 0.63618657]","[0.00106169 0.02216818 0.04651635 0.00456631 0.0342371  0.20172361
 0.0287378  0.02518354 0.06302462 0.01709688 0.18821096 0.00840798
 0.01771408 0.00430823 0.01299656 0.03720317 0.01677223 0.04077505
 0.01025359 0.01163405]",
4.1,1.2140343569566543,1.1918527756346264,"[0.39170513 0.14806132 0.29484828 0.03060804 0.17526632 0.59450228
 0.37764354 0.19721889 0.08865435 0.08148636 0.16213141 0.26841291
 0.23828061 0.0924375  0.40132234 0.17119231 0.13548255 0.09289433
 0.93838036 0.10519602]","[0.06555405 0.33648238 0.05243235 0.20902802 0.04700425 0.03436465
 0.04889071 0.13244676 0.10238406 0.04838994 0.09584296 0.11785172
 0.16149935 0.10122311 0.00598524 0.1791387  0.53570338 0.10165591
 0.00471687 0.07229725]",
4.1,1.1612285196489085,1.1562437526063414,"[0.00190117 0.00516391 0.01027496 0.01296717 0.01499663 0.01541507
 0.02254148 0.01774338 0.01022699 0.02875731 0.01469106 0.0111649
 0.0102705  0.00099442 0.01104551 0.0014109  0.00535914 0.01757667
 0.03833086 0.00629636]","[0.37134576 0.54370492 0.46969402 0.24469873 0.0420717  0.07740204
 0.26450254 0.37091516 0.57217624 0.24606943 0.47229838 0.01763946
 0.01412445 0.91678042 0.24281054 0.12331748 0.09237222 0.31321457
 0.22322431 0.007292  ]",
4.1,1.1294885134061157,1.1715833676090188,"[0.0829798  0.00287297 0.00271756 0.09332451 0.02370956 0.03620795
 0.11309649 0.01274669 0.04534272 0.0014996  0.08490983 0.02469683
 0.00029211 0.14568069 0.17949775 0.002969   0.01438237 0.04365796
 0.01517185 0.04890467]","[0.1025563  0.86372698 0.92089371 0.39802976 0.45920213 0.14960496
 0.22667198 0.19027346 0.15238708 0.21115814 0.13185784 0.2891774
 0.43560744 0.1048036  0.01938013 0.36452585 0.19303151 0.38851642
 0.13765027 0.24301553]",
4.1,1.1669428031333073,1.0797287682491192,"[0.08414856 0.10047764 0.06314883 0.16742449 0.17215874 0.07385296
 0.3387002  0.12168891 0.0723105  0.06246076 0.17975753 0.52426291
 0.23069559 0.14994194 0.01155035 0.21584111 0.30984953 0.22979631
 0.14571922 0.04048296]","[0.02424261 0.03796412 0.11731523 0.03884172 0.054154   0.19469672
 0.08538875 0.14258384 0.04972142 0.04890723 0.06495333 0.02003947
 0.04218331 0.11552996 0.2462054  0.03962888 0.58213052 0.06210923
 0.20247231 0.08335085]",
4.1,1.2448766120956485,1.0773470668715133,"[0.28635552 0.33103066 0.30777628 0.14716006 0.06721348 0.10434856
 0.12546679 0.74634719 0.30900479 0.38837019 0.86925896 0.45175616
 0.99906196 0.29489158 0.35191929 0.63900317 0.0966314  0.26530948
 0.21394453 0.23132876]","[6.27193985e-06 1.84838288e-05 5.44586523e-05 6.64444822e-06
 1.20059934e-05 2.12006589e-05 1.19707765e-04 3.33685565e-05
 1.33045897e-05 4.56661994e-06 5.51700140e-06 1.18213601e-05
 2.33735620e-08 8.05274481e-06 2.66770247e-06 4.94747271e-06
 1.12049758e-05 1.11769377e-06 1.35057220e-05 2.82629258e-05]",
4.1,1.1020349360093897,1.1830190926357944,"[5.54679836e-02 7.38589289e-01 1.28465831e-01 1.00053477e-01
 5.68770164e-02 1.33379875e-01 5.51357150e-02 9.59970663e-02
 3.12258373e-04 4.51401482e-02 5.93093756e-02 1.41558648e-01
 5.61437663e-02 1.82565779e-02 4.02067980e-02 1.17222317e-01
 7.82411789e-01 1.14295259e-01 4.75801912e-02 8.02532821e-02]","[0.54872773 0.02492558 0.24659542 0.28286977 0.3152099  0.11981979
 0.07683363 0.03886119 0.27770061 0.54152361 0.48187159 0.11903016
 0.18076413 0.42938526 0.1650088  0.0991662  0.00757742 0.56948274
 0.63485169 0.21246461]",
4.1,1.2095709320245718,1.0463674180137938,"[0.0480075  0.29452423 0.27234725 0.80547388 0.31017145 0.09402391
 0.63540775 0.13243897 0.04657749 0.31008325 0.16404935 0.53635747
 0.04256808 0.08022484 0.18418248 0.26556781 0.76592571 0.73045886
 0.29463243 0.25795746]","[9.27316512e-32 3.20270406e-31 3.65012702e-31 1.22476610e-31
 3.33098170e-31 1.94497709e-30 1.46346316e-31 2.83848240e-31
 4.17438005e-31 1.24825653e-31 2.18444579e-31 1.29757693e-31
 2.98786528e-31 8.13552820e-31 7.09610815e-31 1.60962524e-31
 2.66884220e-32 8.79421386e-33 6.55433120e-32 5.24259803e-31]",
